"title","author","ISBN","rank","week","description","bestsellers_date","pub","img_url","big_image_url","week_text"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",3,314,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","February 04, 2017"
"NEVER NEVER","James Patterson and Candice Fox","9780316433174",4,314,"Harriet Blue, a Sydney sex crimes detective, is sent to the outback (the never never) to investigate the disappearance of a mine worker. The first in a new series.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780316433174-M.jpg","https://covers.openlibrary.org/b/isbn/9780316433174-L.jpg","February 04, 2017"
"THE SHACK","William P Young","9780964729230",5,314,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780964729230-M.jpg","https://covers.openlibrary.org/b/isbn/9780964729230-L.jpg","February 04, 2017"
"SEVEN MINUTES IN HEAVEN","Eloisa James","9780062389466",6,314,"An arrogant inventor will stop at nothing, even kidnapping, to claim a workaholic widow.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780062389466-M.jpg","https://covers.openlibrary.org/b/isbn/9780062389466-L.jpg","February 04, 2017"
"BILLIONAIRE UNKNOWN","J S Scott","9781939962676",7,314,"Seeking the release of her kidnapped sister, a young professional reconnects with her former flame's twin brother, now a senator.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9781939962676-M.jpg","https://covers.openlibrary.org/b/isbn/9781939962676-L.jpg","February 04, 2017"
"PICTURE PERFECT","Jodi Picoult",NA,8,314,"Waking in a graveyard, an amnesiac anthropologist pieces together her abusive past with a film star. First published in 1995.",2017-02-04,2017-02-19,"assets/na.jpg","","February 04, 2017"
"THE GIRL BEFORE","J P Delaney","9780425285046",9,314,"A sadistic architect builds a modern house that controls its (young, female) inhabitants in this psychological thriller.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780425285046-M.jpg","https://covers.openlibrary.org/b/isbn/9780425285046-L.jpg","February 04, 2017"
"THE APARTMENT","Danielle Steel","9780345531070",10,314,"Four young women share a Hell’s Kitchen loft.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780345531070-M.jpg","https://covers.openlibrary.org/b/isbn/9780345531070-L.jpg","February 04, 2017"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",11,314,"A psychological thriller set in the environs of London is full of complications and betrayals.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","February 04, 2017"
"THE WHISTLER","John Grisham","9780385541190",12,314,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","February 04, 2017"
"MILK AND HONEY","Rupi Kaur","9781449474256",13,314,"Poetic approaches to surviving adversity and loss.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9781449474256-M.jpg","https://covers.openlibrary.org/b/isbn/9781449474256-L.jpg","February 04, 2017"
"FALLING FOR THE HIGHLANDER","Lynsay Sands","9780062273628",14,314,"A runaway heads for the heather with her swarthy escort in tow.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9780062273628-M.jpg","https://covers.openlibrary.org/b/isbn/9780062273628-L.jpg","February 04, 2017"
"INTO THE FIRESTORM","Kat Martin","9781420139051",15,314,"A bounty hunter learning the ropes runs afoul of her idol in the business, as they both close in on prized quarry.",2017-02-04,2017-02-19,"https://covers.openlibrary.org/b/isbn/9781420139051-M.jpg","https://covers.openlibrary.org/b/isbn/9781420139051-L.jpg","February 04, 2017"
"A DOG'S PURPOSE","W Bruce Cameron","9780765326263",1,313,"A canine narrator undergoes a series of reincarnations.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780765326263-M.jpg","https://covers.openlibrary.org/b/isbn/9780765326263-L.jpg","January 28, 2017"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",2,313,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","January 28, 2017"
"NEVER NEVER","James Patterson and Candice Fox","9780316433174",3,313,"Harriet Blue, a Sydney sex crimes detective, is sent to the outback (the never never) to investigate the disappearance of a mine worker. The first in a new series.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780316433174-M.jpg","https://covers.openlibrary.org/b/isbn/9780316433174-L.jpg","January 28, 2017"
"POWER GAME","Christine Feehan","9780399583919",4,313,"A supersoldier with enhanced abilities teams up with a genetically engineered spy in this GhostWalker novel.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780399583919-M.jpg","https://covers.openlibrary.org/b/isbn/9780399583919-L.jpg","January 28, 2017"
"DARK HUMANITY","Gwynn White and various authors",NA,5,313,"A boxed set of science fiction and fantasy offerings.",2017-01-28,2017-02-12,"assets/na.jpg","","January 28, 2017"
"ACCIDENTALLY ON PURPOSE","Jill Shalvis","9780062448071",6,313,"A security expert starts to sabotage Elle's love life.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780062448071-M.jpg","https://covers.openlibrary.org/b/isbn/9780062448071-L.jpg","January 28, 2017"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",7,313,"A psychological thriller set in the environs of London is full of complications and betrayals.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","January 28, 2017"
"THE WHISTLER","John Grisham","9780385541190",8,313,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","January 28, 2017"
"MILK AND HONEY","Rupi Kaur","9781449474256",9,313,"Poetic approaches to surviving adversity and loss.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9781449474256-M.jpg","https://covers.openlibrary.org/b/isbn/9781449474256-L.jpg","January 28, 2017"
"THE APARTMENT","Danielle Steel","9780345531070",10,313,"Four young women share a Hell’s Kitchen loft.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780345531070-M.jpg","https://covers.openlibrary.org/b/isbn/9780345531070-L.jpg","January 28, 2017"
"THE GIRL BEFORE","J P Delaney","9780425285046",11,313,"A sadistic architect builds a modern house that controls its (young, female) inhabitants in this psychological thriller.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780425285046-M.jpg","https://covers.openlibrary.org/b/isbn/9780425285046-L.jpg","January 28, 2017"
"THE SHACK","William P Young","9780964729230",12,313,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780964729230-M.jpg","https://covers.openlibrary.org/b/isbn/9780964729230-L.jpg","January 28, 2017"
"THE UNDERGROUND RAILROAD","Colson Whitehead","9780385542364",13,313,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780385542364-M.jpg","https://covers.openlibrary.org/b/isbn/9780385542364-L.jpg","January 28, 2017"
"SMALL GREAT THINGS","Jodi Picoult","9780345544957",14,313,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9780345544957-M.jpg","https://covers.openlibrary.org/b/isbn/9780345544957-L.jpg","January 28, 2017"
"MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY","Fredrik Backman","9781501115073",15,313,"A girl is instructed to deliver a series of letters after her grandmother dies.",2017-01-28,2017-02-12,"https://covers.openlibrary.org/b/isbn/9781501115073-M.jpg","https://covers.openlibrary.org/b/isbn/9781501115073-L.jpg","January 28, 2017"
"NEVER NEVER","James Patterson and Candice Fox","9780316433174",1,312,"Harriet Blue, a Sydney sex crimes detective, is sent to the outback (the never never) to investigate the disappearance of a mine worker. The first in a new series.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780316433174-M.jpg","https://covers.openlibrary.org/b/isbn/9780316433174-L.jpg","January 21, 2017"
"A DOG'S PURPOSE","W Bruce Cameron","9780765326263",2,312,"A canine narrator undergoes a series of reincarnations.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780765326263-M.jpg","https://covers.openlibrary.org/b/isbn/9780765326263-L.jpg","January 21, 2017"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",3,312,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","January 21, 2017"
"FEVERSONG","Karen Marie Moning","9780425284353",4,312,"A group of superhuman beings fight to save Dublin (and humanity); the conclusion of the Fever series.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780425284353-M.jpg","https://covers.openlibrary.org/b/isbn/9780425284353-L.jpg","January 21, 2017"
"EGOMANIAC","Vi Keeland","9781942215561",5,312,"An embittered attorney and a psychologist share an office space and a growing attraction.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781942215561-M.jpg","https://covers.openlibrary.org/b/isbn/9781942215561-L.jpg","January 21, 2017"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",6,312,"A psychological thriller set in the environs of London is full of complications and betrayals.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","January 21, 2017"
"THE WHISTLER","John Grisham","9780385541190",7,312,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","January 21, 2017"
"MILK AND HONEY","Rupi Kaur","9781449474256",8,312,"Poetic approaches to surviving adversity and loss.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781449474256-M.jpg","https://covers.openlibrary.org/b/isbn/9781449474256-L.jpg","January 21, 2017"
"THE MISTRESS","Danielle Steel","9780345531117",9,312,"The beautiful mistress of a Russian oligarch falls in love with an artist and yearns for freedom.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780345531117-M.jpg","https://covers.openlibrary.org/b/isbn/9780345531117-L.jpg","January 21, 2017"
"THE UNDERGROUND RAILROAD","Colson Whitehead","9780385542364",10,312,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780385542364-M.jpg","https://covers.openlibrary.org/b/isbn/9780385542364-L.jpg","January 21, 2017"
"SMALL GREAT THINGS","Jodi Picoult","9780345544957",11,312,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780345544957-M.jpg","https://covers.openlibrary.org/b/isbn/9780345544957-L.jpg","January 21, 2017"
"FIDELITY","Aleatha Romig","9780996839440",12,312,"Nox and Charli find their happily ever after in the conclusion to the Infidelity series.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780996839440-M.jpg","https://covers.openlibrary.org/b/isbn/9780996839440-L.jpg","January 21, 2017"
"MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY","Fredrik Backman","9781501115073",13,312,"A girl is instructed to deliver a series of letters after her grandmother dies.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781501115073-M.jpg","https://covers.openlibrary.org/b/isbn/9781501115073-L.jpg","January 21, 2017"
"TWO BY TWO","Nicholas Sparks","9781455520695",14,312,"A man who became a single father after both his marriage and his business collapsed learns to take a chance on a new love.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9781455520695-M.jpg","https://covers.openlibrary.org/b/isbn/9781455520695-L.jpg","January 21, 2017"
"CROSS THE LINE","James Patterson","9780316407090",15,312,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",2017-01-21,2017-02-05,"https://covers.openlibrary.org/b/isbn/9780316407090-M.jpg","https://covers.openlibrary.org/b/isbn/9780316407090-L.jpg","January 21, 2017"
"A DOG'S PURPOSE","W Bruce Cameron","9780765326263",1,311,"A canine narrator undergoes a series of reincarnations.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780765326263-M.jpg","https://covers.openlibrary.org/b/isbn/9780765326263-L.jpg","January 14, 2017"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",2,311,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","January 14, 2017"
"FULL PACKAGE","Lauren Blakely",NA,3,311,"A man shares a cramped apartment with his friend's fetching sister.",2017-01-14,2017-01-29,"assets/na.jpg","","January 14, 2017"
"THE MISTRESS","Danielle Steel","9780345531117",4,311,"The beautiful mistress of a Russian oligarch falls in love with an artist and yearns for freedom.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780345531117-M.jpg","https://covers.openlibrary.org/b/isbn/9780345531117-L.jpg","January 14, 2017"
"THE WHISTLER","John Grisham","9780385541190",5,311,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","January 14, 2017"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",6,311,"A psychological thriller set in the environs of London is full of complications and betrayals.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","January 14, 2017"
"MILK AND HONEY","Rupi Kaur","9781449474256",7,311,"Poetic approaches to surviving adversity and loss.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781449474256-M.jpg","https://covers.openlibrary.org/b/isbn/9781449474256-L.jpg","January 14, 2017"
"CROSS THE LINE","James Patterson","9780316407090",8,311,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780316407090-M.jpg","https://covers.openlibrary.org/b/isbn/9780316407090-L.jpg","January 14, 2017"
"SMALL GREAT THINGS","Jodi Picoult","9780345544957",9,311,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780345544957-M.jpg","https://covers.openlibrary.org/b/isbn/9780345544957-L.jpg","January 14, 2017"
"BELOW THE BELT","Stuart Woods","9780399573972",10,311,"The lawyer Stone Barrington faces danger when he finds himself in possession of a retired C.I.A. agent’s explosive memoir.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780399573972-M.jpg","https://covers.openlibrary.org/b/isbn/9780399573972-L.jpg","January 14, 2017"
"RING OF FIRE","Brad Taylor","9781101984765",11,311,"Pike Logan, a member of a secret counterterrorist unit called the Taskforce, investigates a Saudi-backed Moroccan terrorist cell.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781101984765-M.jpg","https://covers.openlibrary.org/b/isbn/9781101984765-L.jpg","January 14, 2017"
"THE UNDERGROUND RAILROAD","Colson Whitehead","9780385542364",12,311,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780385542364-M.jpg","https://covers.openlibrary.org/b/isbn/9780385542364-L.jpg","January 14, 2017"
"THE GUESTS ON SOUTH BATTERY","Karen White","9780451475237",13,311,"Spirits invade the life of a Charleston realtor.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780451475237-M.jpg","https://covers.openlibrary.org/b/isbn/9780451475237-L.jpg","January 14, 2017"
"NO MAN'S LAND","David Baldacci","9781455586516",14,311,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30 years ago.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781455586516-M.jpg","https://covers.openlibrary.org/b/isbn/9781455586516-L.jpg","January 14, 2017"
"TWO BY TWO","Nicholas Sparks","9781455520695",15,311,"A man who became a single father after both his marriage and his business collapsed learns to take a chance on a new love.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781455520695-M.jpg","https://covers.openlibrary.org/b/isbn/9781455520695-L.jpg","January 14, 2017"
"APPRENTICE IN DEATH","J D Robb","9781101987971",16,311,"Lt. Eve Dallas of the N.Y.P.D. is on the case when three skaters are shot by a sniper. By Nora Roberts, writing pseudonymously.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9781101987971-M.jpg","https://covers.openlibrary.org/b/isbn/9781101987971-L.jpg","January 14, 2017"
"THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY","Mary Ann Shaffer and Annie Barrows","9780385341004",17,311,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780385341004-M.jpg","https://covers.openlibrary.org/b/isbn/9780385341004-L.jpg","January 14, 2017"
"SWEET TOMORROWS","Debbie Macomber","9780553391831",18,311,"The journeys of the characters at the Rose Harbor Inn come to a close in this last book of the series.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780553391831-M.jpg","https://covers.openlibrary.org/b/isbn/9780553391831-L.jpg","January 14, 2017"
"THE MURDER HOUSE","James Patterson and David Ellis","9780316410984",19,311,"When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780316410984-M.jpg","https://covers.openlibrary.org/b/isbn/9780316410984-L.jpg","January 14, 2017"
"THE SLEEPWALKER","Chris Bohjalian","9780385538916",20,311,"The daughters of a Vermont woman who disappeared from her home in the middle of the night try to understand what happened.",2017-01-14,2017-01-29,"https://covers.openlibrary.org/b/isbn/9780385538916-M.jpg","https://covers.openlibrary.org/b/isbn/9780385538916-L.jpg","January 14, 2017"
"THE MISTRESS","Danielle Steel","9780345531117",1,310,"The beautiful mistress of a Russian oligarch falls in love with an artist and yearns for freedom.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780345531117-M.jpg","https://covers.openlibrary.org/b/isbn/9780345531117-L.jpg","January 07, 2017"
"A DOG'S PURPOSE","W Bruce Cameron","9780765326263",2,310,"A canine narrator undergoes a series of reincarnations.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780765326263-M.jpg","https://covers.openlibrary.org/b/isbn/9780765326263-L.jpg","January 07, 2017"
"BELOW THE BELT","Stuart Woods","9780399573972",3,310,"The New York lawyer Stone Barrington faces danger when he finds himself in possession of a retired C.I.A. agent’s explosive memoir.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780399573972-M.jpg","https://covers.openlibrary.org/b/isbn/9780399573972-L.jpg","January 07, 2017"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",4,310,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","January 07, 2017"
"THE WHISTLER","John Grisham","9780385541190",5,310,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","January 07, 2017"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",6,310,"A psychological thriller set in the environs of London is full of complications and betrayals.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","January 07, 2017"
"DISTANT SHORES","Kristin Hannah","9780345469373",7,310,"When her seemingly perfect marriage falters, a former artist embraces some much-needed reinvention.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780345469373-M.jpg","https://covers.openlibrary.org/b/isbn/9780345469373-L.jpg","January 07, 2017"
"MILK AND HONEY","Rupi Kaur","9781449474256",8,310,"Poetic approaches to surviving adversity and loss.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781449474256-M.jpg","https://covers.openlibrary.org/b/isbn/9781449474256-L.jpg","January 07, 2017"
"CROSS THE LINE","James Patterson","9780316407090",9,310,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780316407090-M.jpg","https://covers.openlibrary.org/b/isbn/9780316407090-L.jpg","January 07, 2017"
"SMALL GREAT THINGS","Jodi Picoult","9780345544957",10,310,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780345544957-M.jpg","https://covers.openlibrary.org/b/isbn/9780345544957-L.jpg","January 07, 2017"
"THE UNDERGROUND RAILROAD","Colson Whitehead","9780385542364",11,310,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780385542364-M.jpg","https://covers.openlibrary.org/b/isbn/9780385542364-L.jpg","January 07, 2017"
"TWO BY TWO","Nicholas Sparks","9781455520695",12,310,"A man who became a single father after both his marriage and his business collapsed learns to take a chance on a new love.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781455520695-M.jpg","https://covers.openlibrary.org/b/isbn/9781455520695-L.jpg","January 07, 2017"
"NO MAN'S LAND","David Baldacci","9781455586516",13,310,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781455586516-M.jpg","https://covers.openlibrary.org/b/isbn/9781455586516-L.jpg","January 07, 2017"
"MULBERRY MOON","Catherine Anderson","9780451488022",14,310,"Sissy is convinced she doesn't need a man, until she meets a former rodeo star.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780451488022-M.jpg","https://covers.openlibrary.org/b/isbn/9780451488022-L.jpg","January 07, 2017"
"THE NORTH WATER","Ian McGuire","9781627795951",15,310,"An opium-addicted surgeon clashes with a psychopath on an Arctic-bound whaler.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781627795951-M.jpg","https://covers.openlibrary.org/b/isbn/9781627795951-L.jpg","January 07, 2017"
"SWEET TOMORROWS","Debbie Macomber","9780553391831",16,310,"The journeys of the characters at the Rose Harbor Inn come to a close in this last book of the series.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780553391831-M.jpg","https://covers.openlibrary.org/b/isbn/9780553391831-L.jpg","January 07, 2017"
"APPRENTICE IN DEATH","J D Robb","9781101987971",17,310,"Lt. Eve Dallas of the N.Y.P.D. is on the case when three skaters are shot by a sniper. By Nora Roberts, writing pseudonymously.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9781101987971-M.jpg","https://covers.openlibrary.org/b/isbn/9781101987971-L.jpg","January 07, 2017"
"SILVER BAY","Jojo Moyes",NA,18,310,"A dapper developer's arrival in the title town threatens a single mother's equanimity.",2017-01-07,2017-01-22,"assets/na.jpg","","January 07, 2017"
"THE MURDER HOUSE","James Patterson and David Ellis","9780316410984",19,310,"When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780316410984-M.jpg","https://covers.openlibrary.org/b/isbn/9780316410984-L.jpg","January 07, 2017"
"TOM CLANCY TRUE FAITH AND ALLEGIANCE","Mark Greaney","9780399176814",20,310,"Jack Ryan Jr., working for a secret organization, seeks to prevent complicated terrorist strikes set in motion by a hacker. Clancy died in 2013.",2017-01-07,2017-01-22,"https://covers.openlibrary.org/b/isbn/9780399176814-M.jpg","https://covers.openlibrary.org/b/isbn/9780399176814-L.jpg","January 07, 2017"
"THE WRONG SIDE OF GOODBYE","Michael Connelly","9780316225946",1,309,"Harry Bosch helps track a serial rapist, while as a P.I. he aids a billionaire in search of a possible heir.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9780316225946-M.jpg","https://covers.openlibrary.org/b/isbn/9780316225946-L.jpg","December 31, 2016"
"NO MAN'S LAND","David Baldacci","9781455586516",2,309,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9781455586516-M.jpg","https://covers.openlibrary.org/b/isbn/9781455586516-L.jpg","December 31, 2016"
"THE WHISTLER","John Grisham","9780385541190",3,309,"A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9780385541190-M.jpg","https://covers.openlibrary.org/b/isbn/9780385541190-L.jpg","December 31, 2016"
"A DOG'S PURPOSE","W Bruce Cameron","9780765326263",4,309,"A canine narrator undergoes a series of reincarnations.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9780765326263-M.jpg","https://covers.openlibrary.org/b/isbn/9780765326263-L.jpg","December 31, 2016"
"CRASH AND BURN","Fern Michaels","9781420140651",5,309,"In the Sisterhood's latest outing, the cohort faces a mudslinging Capitol Hill divorce.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9781420140651-M.jpg","https://covers.openlibrary.org/b/isbn/9781420140651-L.jpg","December 31, 2016"
"THE GIRL ON THE TRAIN","Paula Hawkins","9781594633669",6,309,"A psychological thriller set in the environs of London is full of complications and betrayals.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9781594633669-M.jpg","https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg","December 31, 2016"
"CROSS THE LINE","James Patterson","9780316407090",7,309,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9780316407090-M.jpg","https://covers.openlibrary.org/b/isbn/9780316407090-L.jpg","December 31, 2016"
"TRULY MADLY GUILTY","Liane Moriarty","9781250069795",8,309,"Tense turning points for three couples at a backyard barbecue gone wrong.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9781250069795-M.jpg","https://covers.openlibrary.org/b/isbn/9781250069795-L.jpg","December 31, 2016"
"A MAN CALLED OVE","Fredrik Backman","9781476738024",9,309,"A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.",2016-12-31,2017-01-15,"https://covers.openlibrary.org/b/isbn/9781476738024-M.jpg","https://covers.openlibrary.org/b/isbn/9781476738024-L.jpg","December 31, 2016"
